pair	exposure	outcome	n_snp	flag_few_snp	flag_egger_intc	flag_q	flag_dir_mismatch	flag_presso	flag_fdr_sig
omp__crohn	omp	crohn	8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vacA__stroke_isch	vacA	stroke_isch	15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__crc	catalase	crc	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vacA__t2d	vacA	t2d	5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__ida	cagA	ida	14	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__sle	omp	sle	8	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
vacA__ida	vacA	ida	15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ureA__crc	ureA	crc	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__parkinson	catalase	parkinson	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vacA__uc	vacA	uc	15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__alzheimer	omp	alzheimer	8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__stroke_isch	hpylori_general	stroke_isch	11	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__ida	omp	ida	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__crc	hpylori_general	crc	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__uc	omp	uc	8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ureA__itp	ureA	itp	10	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
vacA__crohn	vacA	crohn	15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
groEL__ida	groEL	ida	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__itp	omp	itp	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__ra	omp	ra	8	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
ureA__parkinson	ureA	parkinson	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__ms	omp	ms	6	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
cagA__uc	cagA	uc	11	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vacA__cad	vacA	cad	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vacA__ms	vacA	ms	7	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
catalase__itp	catalase	itp	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__stroke_isch	omp	stroke_isch	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__atopic	catalase	atopic	8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__ra	catalase	ra	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__crc	omp	crc	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
groEL__stroke_isch	groEL	stroke_isch	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vacA__sle	vacA	sle	9	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
catalase__cad	catalase	cad	7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__atopic	cagA	atopic	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
groEL__cad	groEL	cad	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__ra	hpylori_general	ra	8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__stroke_isch	cagA	stroke_isch	11	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__afib	hpylori_general	afib	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
groEL__alzheimer	groEL	alzheimer	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ureA__cad	ureA	cad	8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__afib	omp	afib	9	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
cagA__ms	cagA	ms	4	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
omp__asthma	omp	asthma	4	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
vacA__itp	vacA	itp	15	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
omp__pancan	omp	pancan	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__sle	cagA	sle	5	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
omp__parkinson	omp	parkinson	7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__afib	cagA	afib	13	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ureA__atopic	ureA	atopic	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__ra	cagA	ra	10	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
vacA__pancan	vacA	pancan	15	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ureA__uc	ureA	uc	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__cad	hpylori_general	cad	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vacA__atopic	vacA	atopic	14	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
catalase__ms	catalase	ms	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__stroke_isch	catalase	stroke_isch	8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
groEL__crc	groEL	crc	4	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
cagA__alzheimer	cagA	alzheimer	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__ida	hpylori_general	ida	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ureA__ra	ureA	ra	8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
groEL__afib	groEL	afib	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__sle	catalase	sle	7	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ureA__t2d	ureA	t2d	5	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
catalase__afib	catalase	afib	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ureA__crohn	ureA	crohn	10	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
ureA__ida	ureA	ida	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
groEL__asthma	groEL	asthma	3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__sle	hpylori_general	sle	7	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
hpylori_general__pancan	hpylori_general	pancan	10	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
vacA__ra	vacA	ra	12	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
groEL__sle	groEL	sle	4	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
vacA__crc	vacA	crc	15	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
groEL__atopic	groEL	atopic	4	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
ureA__pancan	ureA	pancan	10	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
groEL__uc	groEL	uc	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ureA__alzheimer	ureA	alzheimer	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
groEL__parkinson	groEL	parkinson	4	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
groEL__ra	groEL	ra	4	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
vacA__parkinson	vacA	parkinson	15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__cad	omp	cad	7	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ureA__sle	ureA	sle	9	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
hpylori_general__ms	hpylori_general	ms	3	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
hpylori_general__atopic	hpylori_general	atopic	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__itp	cagA	itp	14	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__alzheimer	hpylori_general	alzheimer	11	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
vacA__alzheimer	vacA	alzheimer	15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__pancan	catalase	pancan	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__t2d	omp	t2d	4	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
catalase__t2d	catalase	t2d	3	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ureA__stroke_isch	ureA	stroke_isch	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__ida	catalase	ida	9	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
cagA__pancan	cagA	pancan	14	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
hpylori_general__uc	hpylori_general	uc	11	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ureA__asthma	ureA	asthma	3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__cad	cagA	cad	6	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ureA__afib	ureA	afib	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__uc	catalase	uc	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vacA__afib	vacA	afib	15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__atopic	omp	atopic	9	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
cagA__crc	cagA	crc	14	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__parkinson	cagA	parkinson	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
groEL__crohn	groEL	crohn	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__crohn	catalase	crohn	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ureA__ms	ureA	ms	6	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
catalase__alzheimer	catalase	alzheimer	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__itp	hpylori_general	itp	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__crohn	cagA	crohn	11	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
cagA__t2d	cagA	t2d	3	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
groEL__ms	groEL	ms	3	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
groEL__itp	groEL	itp	4	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
hpylori_general__crohn	hpylori_general	crohn	11	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
groEL__pancan	groEL	pancan	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__parkinson	hpylori_general	parkinson	9	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
